Ticker,Type,Exchange,Expiration Date,Multiplier,Base Currency,Symbol,Quote Currency,Conid
THD,STK,SMART,,,USD,,,49954177
IDX,STK,SMART,,,USD,,,229727483
VNM,STK,SMART,,,USD,,,229725602
EEM,STK,SMART,,,USD,,,6604766
EWH,STK,SMART,,,USD,,,2586543
EWM,STK,SMART,,,USD,,,253190521
ENZL,STK,SMART,,,USD,,,78615696
INDA,STK,SMART,,,USD,,,101484826
FXI,STK,SMART,,,USD,,,31421120
EWS,STK,SMART,,,USD,,,253190515
EWA,STK,SMART,,,USD,,,2586606
EWJ,STK,SMART,,,USD,,,253190534
EWY,STK,SMART,,,USD,,,10753248